City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,40.01,66,69,18.41,TF,1714018043
1,arkalyk,50.2486,66.9114,46.87,42,100,24.74,KZ,1714017750
2,ixtapa,20.7,-105.2,76.23,94,0,3.44,MX,1714018046
3,itaituba,-4.2761,-55.9836,73.92,100,100,0.2,BR,1714018151
4,ilulissat,69.2167,-51.1,32.02,93,100,5.75,GL,1714017754
5,kaa-khem,51.6833,94.7333,30.4,54,80,11.23,RU,1714017851
6,badger,64.8,-147.5333,58.91,34,75,10.36,US,1714018052
7,bredasdorp,-34.5322,20.0403,59.02,85,83,2.26,ZA,1714018054
8,adamstown,-25.066,-130.1015,73.18,90,2,22.35,PN,1714018055
9,lae,-6.7221,146.9847,83.59,65,36,7.36,PG,1714018057
10,kitimat,54.0524,-128.6534,44.98,82,84,3.0,CA,1714018058
11,harstad,68.799,16.5293,34.99,94,100,8.99,NO,1714018059
12,margaret river,-33.95,115.0667,68.72,37,93,9.44,AU,1714018061
13,saacow,1.6279,42.4407,80.83,83,100,7.31,SO,1714018062
14,katsuura,35.1333,140.3,68.43,78,96,7.7,JP,1714017852
15,qamdo,31.1667,97.2333,43.05,47,97,5.21,CN,1714018065
16,harnosand,62.6323,17.9379,30.22,90,100,4.38,SE,1714018067
17,st. john's,47.5649,-52.7093,53.78,97,100,26.46,CA,1714018048
18,mandalgovi,45.7625,106.2708,43.03,45,66,8.16,MN,1714018070
19,hermanus,-34.4187,19.2345,56.8,86,81,4.52,ZA,1714018071
20,kurumkan,54.3,110.3,37.13,59,100,3.0,RU,1714018073
21,albany,42.6001,-73.9662,36.68,74,10,5.44,US,1714017875
22,broken hill,-31.95,141.4333,62.42,39,58,16.22,AU,1714018075
23,al bardiyah,31.7561,25.0865,61.16,73,86,12.39,LY,1714018077
24,ushuaia,-54.8,-68.3,42.46,70,0,4.61,AR,1714017818
25,qaqortoq,60.7167,-46.0333,30.51,81,66,5.7,GL,1714018079
26,edinburgh of the seven seas,-37.0676,-12.3116,63.39,89,53,18.68,SH,1714018081
27,uturoa,-16.7333,-151.4333,82.94,72,1,3.71,PF,1714018082
28,sheksna,59.21,38.5107,39.16,71,100,12.48,RU,1714018084
29,san luis de la loma,17.2706,-100.8939,80.24,64,1,6.64,MX,1714018085
30,puerto ayora,-0.7393,-90.3518,77.56,96,6,5.23,EC,1714018086
31,xianju,28.85,120.7333,76.26,43,95,4.45,CN,1714018088
32,jamestown,42.097,-79.2353,38.52,83,20,11.5,US,1714018089
33,ebon,4.582,168.6964,82.63,82,39,15.55,MH,1714018091
34,valdivia,-39.8142,-73.2459,51.35,92,44,7.07,CL,1714018092
35,nar'yan-mar,67.6713,53.087,20.1,82,9,13.0,RU,1714018093
36,yellowknife,62.456,-114.3525,39.56,82,100,11.99,CA,1714018095
37,talnakh,69.4865,88.3972,18.21,89,87,6.44,RU,1714017889
38,ulsteinvik,62.3432,5.8487,36.75,86,100,1.99,NO,1714018098
39,qarazhal,48.0078,70.7903,59.41,44,61,14.97,KZ,1714018100
40,san patricio,28.017,-97.5169,75.83,89,28,13.06,US,1714018101
41,suva,-18.1416,178.4415,83.68,89,75,6.91,FJ,1714018102
42,blackmans bay,-43.0167,147.3167,57.33,61,90,4.0,AU,1714018104
43,waitangi,-43.9535,-176.5597,59.83,87,99,8.99,NZ,1714018105
44,jincheng,35.5022,112.8328,79.81,25,19,6.96,CN,1714018107
45,hawaiian paradise park,19.5933,-154.9731,73.04,94,100,13.8,US,1714018108
46,polyarnyy,69.1989,33.4478,30.27,91,100,6.46,RU,1714018110
47,grytviken,-54.2811,-36.5092,28.11,79,31,11.3,GS,1714018111
48,baiquan,47.5833,126.0833,59.04,19,59,21.81,CN,1714018113
49,padina,45.1181,20.7272,43.52,87,100,3.89,RS,1714018114
50,college,64.8569,-147.8028,58.98,35,75,10.36,US,1714018115
51,bilibino,68.0546,166.4372,21.34,74,15,1.72,RU,1714018117
52,east london,-33.0153,27.9116,68.56,74,83,10.67,ZA,1714018118
53,khandyga,62.6667,135.6,28.9,80,100,8.72,RU,1714018119
54,nizhnevartovsk,60.9344,76.5531,23.02,58,0,4.47,RU,1714018121
55,newman,37.3138,-121.0208,63.14,69,87,5.01,US,1714018647
56,ciudad bolivar,8.1222,-63.5497,83.23,58,99,14.76,VE,1714018124
57,puerto natales,-51.7236,-72.4875,39.87,95,100,1.92,CL,1714018125
58,lebu,-37.6167,-73.65,56.52,92,99,8.84,CL,1714018126
59,olonkinbyen,70.9221,-8.7187,29.07,82,9,8.16,SJ,1714018653
60,rongelap,11.1635,166.8941,81.28,82,100,18.86,MH,1714018654
61,mokhotlong,-29.2894,29.0675,47.26,52,0,1.86,LS,1714018656
62,sisimiut,66.9395,-53.6735,30.06,87,60,30.56,GL,1714018657
63,andalgala,-27.5819,-66.3165,55.92,72,82,2.68,AR,1714018660
64,utrik,11.2278,169.8474,81.07,78,84,17.69,MH,1714018661
65,mahajanga,-15.7167,46.3167,79.18,69,49,5.93,MG,1714018663
66,visby,57.6409,18.296,38.03,100,75,6.91,SE,1714018664
67,thompson,55.7435,-97.8558,39.36,45,20,9.22,CA,1714018665
68,chokwe,-24.5333,32.9833,68.27,96,0,3.65,MZ,1714018667
69,mount isa,-20.7333,139.5,87.57,30,40,11.5,AU,1714018668
70,whitehorse,60.7161,-135.0538,52.57,28,20,6.91,CA,1714018644
71,ati,13.2154,18.3353,86.29,15,2,6.53,TD,1714018671
72,porto novo,6.4965,2.6036,82.22,82,100,5.7,BJ,1714018672
73,ribeira grande,38.5167,-28.7,59.77,83,8,11.01,PT,1714018674
74,tiksi,71.6872,128.8694,13.59,82,100,15.21,RU,1714018590
75,susuman,62.7833,148.1667,28.98,90,94,3.0,RU,1714018540
76,iskateley,67.6803,53.1512,20.01,82,10,13.0,RU,1714018678
77,avarua,-21.2078,-159.775,78.85,73,75,8.05,CK,1714018679
78,vilyuchinsk,52.9306,158.4028,55.67,64,100,11.59,RU,1714018681
79,antsiranana,-12.2787,49.2917,79.0,79,98,12.37,MG,1714018682
80,fruita,39.1589,-108.729,69.93,15,0,1.01,US,1714018683
81,alofi,-19.0595,-169.9187,84.09,70,48,9.22,NU,1714018522
82,recreo,-29.2818,-65.061,54.73,80,100,9.71,AR,1714018686
83,geraldton,-28.7667,114.6,73.81,33,75,14.97,AU,1714018687
84,georgetown,5.4112,100.3354,94.95,64,20,5.75,MY,1714018673
85,fort bragg,35.139,-79.006,62.15,82,20,0.0,US,1714018692
86,happy valley-goose bay,53.3168,-60.3315,34.48,91,100,10.6,CA,1714018411
87,beira,-19.8436,34.8389,68.85,92,4,3.91,MZ,1714018694
88,port lincoln,-34.7333,135.8667,63.32,57,10,13.13,AU,1714018696
89,atafu village,-8.5421,-172.5159,84.38,74,50,6.76,TK,1714018697
90,bethel,41.3712,-73.414,48.51,63,40,9.22,US,1714018497
91,rio branco,-9.9747,-67.81,75.81,100,40,3.44,BR,1714018700
92,vytegra,61.0064,36.4481,33.37,83,84,4.0,RU,1714018641
93,port elizabeth,-33.918,25.5701,63.1,82,20,13.8,ZA,1714018568
94,fale old settlement,-9.3852,-171.2468,85.23,74,20,10.78,TK,1714018704
95,vorgashor,67.5833,63.95,10.8,87,82,3.67,RU,1714018660
96,sawang daen din,17.4753,103.4575,107.1,100,12,9.48,TH,1714018708
97,longyearbyen,78.2186,15.6401,26.44,80,20,4.61,SJ,1714018709
98,impfondo,1.6381,18.0667,70.97,98,99,2.42,CG,1714018711
99,garoua,9.3,13.4,85.14,39,100,5.23,CM,1714018659
100,lihue,21.9789,-159.3672,79.84,79,100,18.41,US,1714018714
101,chegdomyn,51.1167,133.0167,64.06,41,95,13.35,RU,1714018715
102,villa gesell,-37.2639,-56.973,53.06,78,0,9.35,AR,1714018428
103,howard springs,-12.497,131.047,93.11,58,99,9.46,AU,1714018718
104,iqaluit,63.7506,-68.5145,13.73,78,100,9.22,CA,1714018719
105,hithadhoo,-0.6,73.0833,84.94,71,100,6.55,MV,1714018721
106,naha,26.2125,127.6811,75.97,86,75,11.5,JP,1714018722
107,fort st. john,56.2499,-120.8529,40.89,42,40,10.36,CA,1714018725
108,leua,48.2156,18.6071,39.49,94,95,3.58,SK,1714018728
109,klyuchi,52.2667,79.1667,38.55,44,3,11.36,RU,1714018729
110,anadyr,64.75,177.4833,30.7,92,100,2.24,RU,1714018730
111,ust-nera,64.5667,143.2,36.81,98,98,3.67,RU,1714018732
112,udachny,66.4167,112.4,21.45,80,100,19.04,RU,1714018660
113,papatowai,-46.5619,169.4708,56.34,60,18,4.0,NZ,1714018734
114,chebba,35.2372,11.115,52.05,61,0,9.22,TN,1714018736
115,fengkou,30.0833,113.2667,73.42,62,100,3.27,CN,1714018737
116,afaahiti,-17.75,-149.2833,82.27,73,1,3.47,PF,1714018739
117,verkhovazh'ye,60.7472,42.0465,35.15,71,66,5.17,RU,1714018729
118,alcala,4.6747,-75.7825,71.19,97,100,2.1,CO,1714018741
119,touros,-5.1989,-35.4608,78.75,80,7,8.46,BR,1714018743
120,labuan,5.2767,115.2417,91.76,58,20,5.75,MY,1714018744
121,santana,-0.0583,-51.1817,78.98,94,20,5.75,BR,1714018520
122,codrington,-38.2667,141.9667,57.42,65,95,13.27,AU,1714018747
123,carnarvon,-24.8667,113.6333,85.66,37,55,12.03,AU,1714018748
124,mount gambier,-37.8333,140.7667,58.39,60,62,8.93,AU,1714018750
125,hachinohe,40.5,141.5,56.75,71,64,17.07,JP,1714018751
126,acapulco de juarez,16.8634,-99.8901,82.22,74,0,0.0,MX,1714018752
127,maintirano,-18.0667,44.0167,75.83,89,14,7.7,MG,1714018754
128,ulladulla,-35.35,150.4667,69.76,52,1,8.23,AU,1714018755
129,arraial do cabo,-22.9661,-42.0278,77.29,79,100,9.04,BR,1714018640
130,vila franca do campo,37.7167,-25.4333,59.41,78,42,6.82,PT,1714018758
131,hamilton,39.1834,-84.5333,43.77,79,0,8.05,US,1714018760
132,aromashevo,56.8602,68.6375,36.21,41,76,11.97,RU,1714018761
133,falam,22.9167,93.6833,87.46,24,0,6.85,MM,1714018763
134,tazovsky,67.4667,78.7,22.46,94,96,4.56,RU,1714018764
135,castillos,-34.1667,-53.8333,50.83,84,0,1.86,UY,1714018765
136,kodiak,57.79,-152.4072,38.71,93,100,14.97,US,1714018767
137,petropavlivka,48.4564,36.4367,60.64,74,100,5.19,UA,1714018768
138,pajok,3.8651,32.4821,69.8,94,100,4.34,SS,1714018769
139,opuwo,-18.0607,13.84,64.11,24,0,5.44,NA,1714018771
140,kavaratti,10.5669,72.642,85.57,69,87,8.12,IN,1714018772
141,apan,19.7167,-98.4167,58.98,59,9,3.44,MX,1714018774
142,kolpashevo,58.3131,82.9089,36.1,70,100,8.99,RU,1714018775
143,murzuq,25.9155,13.9184,70.32,30,0,7.45,LY,1714018776
144,birobidzhan,48.8,132.95,64.81,43,40,16.58,RU,1714018780
145,tura,25.5198,90.2201,95.13,24,0,8.7,IN,1714018781
146,kerikeri,-35.2268,173.9474,67.91,73,100,5.61,NZ,1714018783
147,enewetak,11.3474,162.3373,82.06,80,85,17.36,MH,1714018784
148,raja,8.4596,25.678,77.25,70,100,9.4,SS,1714018786
149,kiffa,16.6166,-11.4045,88.68,16,3,9.84,MR,1714018787
150,anori,-3.7728,-61.6442,72.73,99,92,1.41,BR,1714018788
151,taltal,-25.4,-70.4833,65.5,79,45,3.76,CL,1714018790
152,bonthe,7.5264,-12.505,80.37,83,100,4.27,SL,1714018792
153,kailua-kona,19.6406,-155.9956,78.76,83,75,8.05,US,1714018794
154,markaz-e hukumat-e darweshan,31.1323,64.1934,73.87,44,36,8.28,AF,1714018795
155,palikir - national government center,6.9248,158.1611,83.25,79,100,11.5,FM,1714018798
156,amga,60.8953,131.9608,30.6,64,98,10.54,RU,1714018799
157,balkanabat,39.5108,54.3671,67.53,42,12,3.2,TM,1714018801
158,bafra,41.5678,35.9069,76.71,38,99,9.22,TR,1714018802
159,wailua homesteads,22.0669,-159.378,79.23,84,100,18.41,US,1714018804
160,invercargill,-46.4,168.35,55.02,74,2,5.01,NZ,1714018805
161,harper,4.375,-7.7169,81.32,82,83,5.86,LR,1714018806
162,constantia,44.1833,28.65,56.08,76,100,2.44,RO,1714018808
163,muzo,5.5353,-74.1078,67.41,96,100,4.68,CO,1714018809
164,rio grande,-32.035,-52.0986,54.95,70,100,5.48,BR,1714018811
165,matoury,4.8483,-52.3317,78.76,94,75,2.3,GF,1714018812
166,port mathurin,-19.6833,63.4167,80.01,70,100,17.63,MU,1714018814
